Model,Mean Squared Error,Mean Absolute Percentage Error,Mean Absolute Error
0,842975.7637187176,0.33279850723130333,676.3791927389079
1,454664.2920267135,0.2334366376899314,457.77430081388263
2,411027.2148043808,0.23872753000932156,446.28632085955513
3,412474.1067529269,0.2462451523316722,452.9193179269944
4,412370.03375719144,0.24551985817689512,452.3017338951089
5,404925.9662286756,0.2415845177632121,446.24468219331345
6,400003.336551464,0.25407306038959104,454.21632192525163
7,402439.97332594456,0.2385097158250033,442.82737473676855
8,428944.8968649719,0.23980454509446167,453.85961104688243
9,410842.80075570056,0.24546391646055365,451.66239222871116
